ROI Label,ROI Name,R,A,S,Hemisphere,Network,Region,Member,Color
274,17Networks_RH_DorsAttnB_PostC_1,62,-14,30,RH,DorsAttnB,PostC,1,green
273,17Networks_RH_DorsAttnB_TempOcc_1,60,-54,-2,RH,DorsAttnB,TempOcc,1,green
282,17Networks_RH_DorsAttnB_FEF_1,40,-4,52,RH,DorsAttnB,FEF,1,green
283,17Networks_RH_DorsAttnB_FEF_2,28,-4,52,RH,DorsAttnB,FEF,2,green
284,17Networks_RH_DorsAttnB_FEF_3,24,-2,64,RH,DorsAttnB,FEF,3,green
280,17Networks_RH_DorsAttnB_PostC_7,24,-50,68,RH,DorsAttnB,PostC,7,green
73,17Networks_LH_DorsAttnB_PostC_1,-62,-24,32,LH,DorsAttnB,PostC,1,green
84,17Networks_LH_DorsAttnB_FEF_3,-30,-8,52,LH,DorsAttnB,FEF,3,green
83,17Networks_LH_DorsAttnB_FEF_2,-26,0,56,LH,DorsAttnB,FEF,2,green
82,17Networks_LH_DorsAttnB_FEF_1,-40,-2,52,LH,DorsAttnB,FEF,1,green
81,17Networks_LH_DorsAttnB_PostC_9,-14,-50,72,LH,DorsAttnB,PostC,9,green
80,17Networks_LH_DorsAttnB_PostC_8,-20,-56,66,LH,DorsAttnB,PostC,8,green
79,17Networks_LH_DorsAttnB_PostC_7,-8,-58,64,LH,DorsAttnB,PostC,7,green
78,17Networks_LH_DorsAttnB_PostC_6,-30,-46,62,LH,DorsAttnB,PostC,6,green
77,17Networks_LH_DorsAttnB_PostC_5,-38,-38,50,LH,DorsAttnB,PostC,5,green
76,17Networks_LH_DorsAttnB_PostC_4,-46,-30,44,LH,DorsAttnB,PostC,4,green
75,17Networks_LH_DorsAttnB_PostC_3,-54,-32,44,LH,DorsAttnB,PostC,3,green
74,17Networks_LH_DorsAttnB_PostC_2,-54,-20,40,LH,DorsAttnB,PostC,2,green
85,17Networks_LH_DorsAttnB_PrCv_1,-50,2,38,LH,DorsAttnB,PrCv,1,green
281,17Networks_RH_DorsAttnB_PostC_8,16,-46,74,RH,DorsAttnB,PostC,8,green
118,17Networks_LH_LimbicA_TempPole_5,-40,-22,-26,LH,LimbicA,TempPole,5,cyan
115,17Networks_LH_LimbicA_TempPole_2,-24,6,-40,LH,LimbicA,TempPole,2,cyan
319,17Networks_RH_LimbicA_TempPole_1,28,-2,-40,RH,LimbicA,TempPole,1,cyan
116,17Networks_LH_LimbicA_TempPole_3,-26,-10,-32,LH,LimbicA,TempPole,3,cyan
117,17Networks_LH_LimbicA_TempPole_4,-54,-22,-30,LH,LimbicA,TempPole,4,cyan
120,17Networks_LH_LimbicA_TempPole_7,-44,6,-16,LH,LimbicA,TempPole,7,cyan
114,17Networks_LH_LimbicA_TempPole_1,-38,-6,-42,LH,LimbicA,TempPole,1,cyan
320,17Networks_RH_LimbicA_TempPole_2,48,-6,-40,RH,LimbicA,TempPole,2,cyan
119,17Networks_LH_LimbicA_TempPole_6,-32,12,-30,LH,LimbicA,TempPole,6,cyan
